cuestionario;factor;zona;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_3;p7_3_1;p7_3_2;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p12_2;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_2;p24;p25;p25_1;p25_2;p25_3;p25_4;p26;p27;p27_1;p27_2;p27_3;p27_4;p27_5;p27_6;p27_7;p27_8;p27_9;p27_10;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
184;3.505.621.802;Centro Ampliado;Presencial en hogares;Masculino;Si;39;35 - 44 años;No;Si;Si;Si;Antioquia;Chigorodó;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Universitario;Si;Otra actividad;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;2;3;1;2;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;2011;Otro municipio;Conductor;Nunca;;15;;;;;;Comuna 12;Cali;Comuna 3;;Uno;Entre 1 y 3 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);El costo (sus posibilidades económicas o capacidad adquisitiva);;;;El costo de compra;Esfuerzo físico agotador;Tiempos de viaje largos o inciertos;;;;;;;;;;;3;3;Muy importante;Muy importante;Muy importante;Muy importante;3;3;Muy importante;Automóvil;;Otra razón ¿Cuál?;Estado de las calles;Otro;Moderado;Camión liviano;;Automóvil;;Inseguridad;;Muy importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.326.668;-765.075.269;9.832.999.878;11.817
185;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;51;45 - 54 años;No;Si;Si;Si;Cauca;El Tambo;;;Indígena;No;Secundaria completa;No;Trabajar y estudiar;Empleado(a) doméstico;De lunes a sábado;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si, motocicleta;1;2;1;2;Moto 4T;;125 cc;;Gasolina corriente;;2025;Otro municipio;Conductor;Nunca;;40;;;;;;Comuna 13;Cali;Otros;Chipichape;Uno;Entre 4 y 7 km;Ir a trabajar;;;Totalmente satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;Nada me disgusta;Otro ¿Cuál?;;;;;;;;;;;Todos los riesgos;Muy importante;4;Muy importante;Muy importante;Nada Importante;Nada Importante;3;Nada Importante;Nada Importante;Moto 4T;;Otra razón ¿Cuál?;Ideal para ir de vacaciones;Otro;Bajo;Camión pesado;;Automóvil;;Otro. ¿Cuál?;Economía;Muy importante;Muy importante;Si;No;Si;Si;No;No;Si;No sabe;;Entre el paradero y la casa;;;No tomó ninguna acción;;;No;Hombre;No;34.254.367;-764.984.168;9.797.999.878;19.27
186;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;47;45 - 54 años;No;Si;Si;Si;Valle;Buga;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Entre 100 y 300 mil pesos;Si;Una mujer de la familia que vive con usted;Dificultad permanente para moverse (por ejemplo utiliza silla de ruedas, muleta, caminadores);;;No;No;0;;2;1;Moto en plataforma (Ejemplo: Didi, Picap, Uber, otras);;;;;;;;;;;60;;;;;;Comuna 13;Cali;Comuna 6;;Dos;Entre 4 y 7 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Poco Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de espera;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;3;Muy importante;4;4;4;4;Muy importante;Muy importante;4;Automóvil en plataforma (Ejemplo:Uber);;Nivel de inseguridad;;Los vehículos que circulan en la ciudad;Moderado;Automóvil;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;Muy importante;4;Si;Si;Si;No;Si;No;Si;No sabe;;Entre el paradero y la casa;En los paraderos o estaciones;;No tomó ninguna acción;;;Si;Mujer;No;34.245.616;-764.981.405;9.797.999.878;9.257
187;5.079.884.185;Centro Ampliado;Presencial en hogares;Femenino;Si;45;45 - 54 años;No;Si;Si;Si;Valle;Cali;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Sola(o);Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;1;2;1;2;Moto 4T;;125 cc;;Gasolina corriente;;2018;Otro municipio;Conductor;Nunca;;30;;;;;;Comuna 11;Cali;Comuna 14;;Uno;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Nada Importante;3;Muy importante;3;4;Muy importante;Muy importante;Muy importante;Nada Importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Mio Cable;;Automóvil;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;Si;No;Si;Si;Si;No;No sabe;;En los paraderos o estaciones;;;No tomó ninguna acción;;;No;Mujer;No;34.202.137;-765.091.437;9.813.999.634;10.416
188;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;62;55 - 64 años;No;Si;Si;Si;Caldas;Salamina;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;No sabe/no responde;No;;Ninguna dificultad;;;No;No;0;;0;;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2018;Cali;Acompañante (pasajero o parrilero);Nunca;;5;;;;;;Comuna 15;Cali;Comuna 15;;Dos;Más de 12 km;Ir a trabajar;;;Totalmente satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;Nada me disgusta;Tiempos de espera largos o inciertos;;;;;;;;;;;;Muy importante;2;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Incineración de residuos;Muy alto;Automóvil;;Automóvil;;Costos altos;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No sabe;;;;;;;;No;Mujer;No;34.088.286;-76.501.834;9.797.999.878;12.333
189;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;57;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a sábado;;;;;;;;Sola(o);Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;0;;0;;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;60;;;;;;Comuna 15;Cali;Comuna 15;;Tres;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;Nada me disgusta;Otro ¿Cuál?;;;;;;;;;;;Ninguno;Nada Importante;Nada Importante;Nada Importante;2;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Automóvil;;Otra razón ¿Cuál?;Incomodidad;Los vehículos que circulan en la ciudad;Muy alto;Automóvil;;Automóvil;;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No sabe;;;;;;;;Si;Hombre;No;34.075.462;-765.008.239;9.802.000.122;12.514
190;3.555.843.024;Urbana Oriente;Presencial en hogares;Masculino;Si;60;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Indígena;No;Básica primaria incompleta;No;Es pensionado(a);;;;;;;;;;Sola(o);Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;0;;0;;Caminata;;;;;;;;;;;;;;;;2;Comuna 15;Cali;Comuna 12;;Dos;Entre 8 y 12 km;A otro asunto;;;Muy Satisfecho;La distancia que debe recorrer;;;;;Nada me disgusta;Otro ¿Cuál?;;;;;;;;;;;Nada me disgusta;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Moto 4T;;Razones de salud;;Empresas manufactureras;Nulo;Camión liviano;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;No;No;Si;No sabe;;Mientras caminaba;;;No tomó ninguna acción;;;Si;Hombre;No;3.405.609;-765.058;9.795.999.756;13.941
191;425.919.659;Urbana Oriente;Presencial en hogares;Femenino;Si;36;35 - 44 años;No;Si;Si;Si;Valle;Bolívar;;;No sabe/ No responde;Si;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;Más de 3;2;3;2;Moto 4T;;125 cc;;Gasolina corriente;;2020;Cali;Conductor;Algunas veces;1;15;;;;;;Comuna 7;Cali;Comuna 16;;Uno;Entre 4 y 7 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);;;;;Nada me disgusta;Costos altos;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Vertederos (basureros) y rellenos sanitarios;Moderado;Camión pesado;;Campero/ Camioneta (SUV);;Inseguridad;;2;2;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;34.462.327;-764.874.821;9.808.999.634;18.319
192;3.505.621.802;Centro Ampliado;Presencial en hogares;Masculino;Si;52;45 - 54 años;No;Si;Si;Si;Antioquia;Itagüí;;;Ninguna de las anteriores;Si;Secundaria incompleta;Si;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Más de 500 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;1;2;2;Moto 4T;;150 cc;;Gasolina corriente;;2014;Otro municipio;Acompañante (pasajero o parrilero);Algunas veces;1;15;;;;;;Comuna 12;Cali;Comuna 13;;Dos;Entre 8 y 12 km;Ir a trabajar;;;Muy Satisfecho;La distancia que debe recorrer;El tiempo de viaje;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Dificultad para encontrar parqueadero;;;;;;;;;;;;4;3;3;3;4;Muy importante;Nada Importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Uso de aerosoles y productos químicos;Bajo;Otro;Carros antiguos;Otro;Tren;Inseguridad;;Nada Importante;Muy importante;No;Si;Si;No;No;No;Si;No;;Otro;;Semáforo;No tomó ninguna acción;;;Si;Hombre;No;34.349.067;-765.076.029;9.863.999.634;15.113
193;3.726.943.109;Centro Ampliado;Presencial en hogares;Masculino;Si;62;55 - 64 años;No;Si;Si;Si;Valle;Cali;;;Indígena;No;Secundaria completa;Si;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a domingo;;;;;;;;Sola(o);Estrato 3;Entre 100 y 300 mil pesos;No;;Dificultad para ver, aún utilizando lentes;;;No;No;0;;0;;Transporte público (MIO);;;;;;;;;;;;5;20;20;30;;Comuna 12;Cali;Comuna 6;;Uno;Entre 4 y 7 km;A realizar algún trámite personal;;;Muy Satisfecho;La distancia que debe recorrer;;;;;El tiempo de espera;Esfuerzo físico agotador;;;;;;;;;;;;Nada Importante;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Transporte público (MIO);;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Camión liviano;;Van/Camioneta con platón;;Inseguridad;;Nada Importante;Nada Importante;No;Si;No;No;Si;No;No;No;;Otro;;Cuando estaba joven;No tomó ninguna acción;;;No;Hombre;Si;34.329.439;-765.089.448;9.845.999.756;63.5
194;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;62;55 - 64 años;No;Si;Si;Si;Valle;Buenaventura;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Universitario;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 1;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;Si, motocicleta;0;;1;2;Transporte público colectivo busetas;;;;;;;;;;;;12;30;45;10;;Comuna 13;Cali;Comuna 6;;Dos;Entre 8 y 12 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Poco Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;Otra razón;Multitud de personas;;;;;;;;;;;;Nada Importante;Nada Importante;Nada Importante;2;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Caminata;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Nulo;Mio Cable;;Campero/ Camioneta (SUV);;Otro. ¿Cuál?;La pereza;Nada Importante;Nada Importante;No;No;No;Si;Si;No;Si;No;;En uno de los alimentadores;;;Puso la queja (en la app, en algún buzón, en una línea telefónica o de Whatsapp etc);;;Si;Hombre;No;34.258.588;-764.987.275;9.795.999.756;11.507
195;5.176.076.781;Urbana Oriente;Presencial en hogares;Masculino;Si;31;25 - 34 años;No;Si;Si;Si;Antioquia;Granada;;;Ninguna de las anteriores;No;Secundaria completa;Si;Trabajar;Trabajador independiente o por cuenta propia;Ningún día;;;;;;;;Sola(o);Estrato 1;No sabe/no responde;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;2;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;Modelos anteriores a 2005;Cali;Conductor;Nunca;;15;;;;;;Comuna 13;Cali;Comuna 13;;No salgo del hogar con frecuencia;Menos de 1 km;A otro asunto;;;Muy Satisfecho;La comodidad (confort);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Muy importante;4;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Automóvil;;Campero/ Camioneta (SUV);;Inseguridad;;3;3;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.262.349;-764.982.473;9.787.000.122;12.1
196;5.079.884.185;Centro Ampliado;Presencial en hogares;Femenino;Si;40;35 - 44 años;No;Si;Si;Si;Valle;Alcalá;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a viernes;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;0;;1;1;Moto 4T;;Menos de 125 cc;;Gasolina corriente;;2019;Otro municipio;Acompañante (pasajero o parrilero);Algunas veces;2;20;;;;;;Comuna 11;Cali;Comuna 11;;Dos;Entre 1 y 3 km;Ir a trabajar;;;Muy Satisfecho;La comodidad (confort);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;;;;;;;;;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;4;4;4;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Mio Cable;;Guala o pirata;;Inseguridad;;Nada Importante;Nada Importante;No;Si;Si;Si;Si;Si;No;No;;Otro;;Carretera;Se bajó del modo de transporte;;;Si;Mujer;No;34.232.696;-765.096.714;9.820.999.756;11.488
197;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;43;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;No sabe/no responde;No;;Ninguna dificultad;;;No;No;0;;0;;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;15;;;;;;Comuna 15;Cali;Comuna 3;;No salgo del hogar con frecuencia;Entre 1 y 3 km;A realizar compras;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La comodidad (confort);;;;Nada me disgusta;Congestión de tráfico;;;;;;;;;;;;Muy importante;2;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;2;Automóvil;;Otra razón ¿Cuál?;No hay necesidad;Los vehículos que circulan en la ciudad;Alto;Moto 4T;;Automóvil;;Costos altos;;Muy importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;34.082.299;-765.030.339;9.788.999.634;13.285
198;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;24;18 - 24 años;No;Si;Si;Si;Valle;Cali;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;Ningún día;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;;Sí, motocicleta;No;0;;0;;Automóvil en plataforma (Ejemplo:Uber, Yango, Didi, InDriver);;;;;;;;;;;40;;;;;;Comuna 15;Cali;Comuna 2;;Uno;Entre 4 y 7 km;Ir a trabajar;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;Las condiciones de incomodidad;Tiempos de espera largos o inciertos;;;;;;;;;;;;2;2;2;2;2;3;2;2;4;Automóvil;;Otra razón ¿Cuál?;Dinero;Los vehículos que circulan en la ciudad;Muy alto;Mio Cable;;Bicitaxi sin motor;;Inseguridad;;Muy importante;Muy importante;No;Si;Si;Si;Si;No;No;No;;Entre el paradero y la casa;;;No tomó ninguna acción;;;No;Mujer;No;34.084.814;-765.017.306;9.800.999.756;7.35
199;3.555.843.024;Urbana Oriente;Presencial en hogares;Masculino;Si;48;45 - 54 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;Si;Tecnológico;Si;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a sábado;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;1;2;1;1;Moto 4T;;125 cc;;Gasolina corriente;;2013;Otro municipio;Conductor;Siempre;1;70;;;;;;Comuna 15;Otro municipio;Comuna 22;;Cuatro o más;Más de 12 km;Ir a trabajar;;;Muy Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Ser víctima de robo o atraco;;;;;;;;;;;;Muy importante;Muy importante;3;Nada Importante;Muy importante;Muy importante;Muy importante;Nada Importante;Muy importante;Otro;Volando;Otra razón ¿Cuál?;No tengo plata;Vertederos (basureros) y rellenos sanitarios;Bajo;Mio Cable;;Transporte público colectivo busetas;;Inseguridad;;Muy importante;Muy importante;Si;No;No;No;No;No;Si;Si;Intolerancia;En un motoratón;;;Otro;;Defensa;Si;Hombre;No;3.406.105;-765.059.487;9.792.999.878;11.477
200;3.555.843.024;Urbana Oriente;Presencial en hogares;Masculino;Si;39;35 - 44 años;No;Si;Si;Si;Valle;Cali;;;Indígena;No;Tecnológico;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a domingo;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;Si de auto y motocicleta;2;2;1;2;Automóvil;Entre 1000 y 1499 cc;;;Gasolina corriente;;2019;Cali;Conductor;Nunca;;30;;;;;;Comuna 7;Cali;Comuna 3;;No salgo del hogar con frecuencia;Entre 8 y 12 km;Ir a trabajar;;;Totalmente satisfecho;La comodidad (confort);;;;;Otra razón;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;Nada Importante;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Es el medio de transporte que utiliza;;Uso de aerosoles y productos químicos;Moderado;Automóvil;;Campero/ Camioneta (SUV);;Falta de infraestructura (andenes, ciclorutas, etc.);;Muy importante;Muy importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.465.184;-764.883.953;9.817.999.878;11.966
201;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;49;45 - 54 años;No;Si;Si;Si;Antioquia;Medellín;;;No sabe/ No responde;No;Secundaria incompleta;No;Incapacitado permanente para trabajar;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 2;Entre 100 y 300 mil pesos;No;;Dificultad temporal para moverse;;;Sí, auto y motocicleta;No;0;;0;;Taxi;;;;;;;;;;;20;;;;;;Comuna 13;Cali;Otros;Centro de Cali;Tres;Entre 4 y 7 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Muy Satisfecho;La comodidad (confort);;;;;El tiempo de espera;Congestión de tráfico;;;;;;;;;;;;Nada Importante;3;Muy importante;3;Nada Importante;Nada Importante;Nada Importante;3;2;Automóvil;;Razones de salud;;Los vehículos que circulan en la ciudad;Moderado;Taxi;;Camión pesado;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada Importante;Nada Importante;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.259.727;-764.985.083;988.5;4.59
202;3.555.843.024;Urbana Oriente;Presencial en hogares;Masculino;Si;21;18 - 24 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Técnico profesional;No;Estudiar;;;;;;;De lunes a domingo;;;Con su pareja y otros familiares;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;Sí, auto y motocicleta;No;1;2;1;2;Moto 4T;;125 cc;;Gasolina corriente;;2020;Otro municipio;Conductor;Algunas veces;1;60;;;;;;Comuna 13;Cali;Comuna 13;;Uno;Entre 4 y 7 km;Ir a estudiar;;;Muy Satisfecho;La distancia que debe recorrer;;;;;El tiempo de viaje;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;2;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Muy alto;Moto 2T;;Van/Camioneta con platón;;Falta de información;;2;2;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;34.275.135;-765.000.405;972.266;100
203;5.079.884.185;Centro Ampliado;Presencial en hogares;Femenino;Si;52;45 - 54 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;Si;Secundaria incompleta;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Menos de 100 mil pesos;Si;Usted;Ninguna dificultad;;;No;No;0;;0;;Taxi;;;;;;;;;;;60;;;;;;Comuna 12;Cali;Otros;Imbanaco, Hospital Primitivo;Uno;Entre 1 y 3 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Poco Satisfecho;La comodidad (confort);;;;;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Costos altos;Ser víctima de robo o atraco;;;;;;;;;;;3;3;3;3;Muy importante;Muy importante;4;4;4;Taxi;;Es el medio de transporte que utiliza;;Vertederos (basureros) y rellenos sanitarios;Bajo;Mio Cable;;Campero/ Camioneta (SUV);;Inseguridad;;Nada Importante;Nada Importante;No;No;No;No;Si;No;No;No;;En un bus de transporte intermunicipal;;;No tomó ninguna acción;;;Si;Mujer;No;34.232.425;-765.095.814;994.853;2.068
204;5.921.933.934;Urbana Oriente;Presencial en hogares;Femenino;Si;28;25 - 34 años;No;Si;Si;Si;Valle;Cali;;;Ninguna de las anteriores;No;Secundaria incompleta;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;Sola(o) con sus hijas o hijos;Estrato 2;Menos de 100 mil pesos;Si;Usted;Ninguna dificultad;;;No;No;0;;0;;Transporte público colectivo busetas;;;;;;;;;;;;20;60;60;10;;Comuna 15;Cali;Comuna 6;;Uno;Entre 4 y 7 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;Nada Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;;;;El tiempo de espera;Costos altos;;;;;;;;;;;;Muy importante;Muy importante;4;3;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Costos asociados;;Los vehículos que circulan en la ciudad;Muy alto;Mio Cable;;Automóvil;;Inseguridad;;Nada Importante;Nada Importante;Si;Si;No;Si;Si;No;Si;No;;En un vehículo de aplicación Uber, Cabify,;En los paraderos o estaciones;;No tomó ninguna acción;;;Si;Mujer;No;34.139.425;-764.946.814;922.089;2.931
205;4.625.032.155;Urbana Oriente;Presencial en hogares;Masculino;Si;37;35 - 44 años;No;Si;Si;Si;Cauca;Santander de Quilichao;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;;No;No;0;;0;;Automóvil;No aplica - (por ejemplo Vehículo eléctrico);;;Gasolina corriente;;No sabe / No responde - NO LEA;No sabe/no responde;Acompañante (pasajero o parrilero);Algunas veces;3;60;;;;;;Comuna 15;Cali;Otros;Terminal;Uno;Entre 4 y 7 km;Ir a trabajar;;;Totalmente satisfecho;La comodidad (confort);El costo (sus posibilidades económicas o capacidad adquisitiva);;;;El tiempo de espera;Exposición a condiciones climáticas desfavorables (lluvia o calor);;;;;;;;;;;;4;2;Muy importante;Muy importante;2;2;Muy importante;Muy importante;Muy importante;Automóvil;;No hay cobertura del modo de transporte;;Otro;Muy alto;Mio Cable;;Automóvil;;Falta de información;;4;Muy importante;No;No;No;No;No;No;Si;No;;En los paraderos o estaciones;;;Tomó la decisión de no volver a usar ese modo de transporte;;;Si;Hombre;No;34.087.137;-765.027.241;-15.446;100
