cuestionario;factor;campo;genero;filtro_a;p1edad;edadr;filtro_b;filtro_c;voluntad;p2;p2_1;p2_1_1;p2_2;p2_2_1;p3;p4;p5;p6;p7;p7_1;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_2_5;p7_2_6;p7_3;p7_3_1;p7_3_2;p7_3_3;p7_3_4;p8;p9estrato;p10;p11;p11_1;p12;p12_1;p13;p14;p15;p15_1;p16;p16_1;p17;p17_v2_1;p17_v2_2;p17_v2_3;p17_v3;p17_v3_otro;p17_v4;p17_v5;p17_v6;p17_v7;p17_v7_1;p18;p18_p1;p18_p2;p18_p3;p18_p4;p18_c1;p19_1;p19comuna;p20;p20_1;p20_1_otro;p21;p22;p23;p23_1;p23_1_1;p23_2;p23_2_1;p23_2_2;p23_2_3;p24;p25;p25_1;p26;p27;p27_1;p27_otro;p28p28_1;p28p28_2;p28p28_3;p28p28_4;p28p28_5;p28p28_6;p28p28_7;p28p28_8;p28p28_9;p29;p29_otro;p30;p30_otro;p31;p32;p33;p33_otro;p34;p34_otro;p35;p35_otro;p36;p37;p38p38_1;p38p38_2;p38p38_3;p38p38_4;p38p38_5;p38p38_6;p38p38_7;p38p38_99;p38_99_otro;p39;p39_1;p39_otro;p39_1_2;p39_1_1;p39_1_otro;p39_2;p40;p41;p47latitude;p47longitude;p47altitude;p47accuracy
246;48.797.750.320.000.000;Presencial en hogares;Masculino;Si;33;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Técnico profesional;No;Trabajar;Empleado en empresa, gobierno u organización;Ningún día;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 3;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si de auto y motocicleta;0;;3;1;Moto 4T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2022;Otro municipio del área metropolitana;Conductor;Nunca;;5;;;;;;Medellín;Comuna 8 - Villa Hermosa;Medellín;Comuna 3 - Manrique;;Uno;Menos de 5 km;A visitar a alguien (familiar o amigo);;;;;;;Satisfecho;El tiempo de viaje;La distancia que debe recorrer;La vulnerabilidad frente accidentes de tránsito;Tiempos de espera largos o inciertos;Congestión de tráfico;;Nada Importante;4;Muy importante;Muy importante;3;3;3;4;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Metro;;Inseguridad;;Nada influyente;4;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.443.039;-755.481.935;1.612.099.976;60
247;5.262.967.272;Presencial en hogares;Femenino;Si;56;55 - 64 años;No;Si;Si;Si;Caldas;Manizales;;;Ninguna de las anteriores;No;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;1;0;0;;Metroplus;;;;;;;;;;;;5;5;15;10;;Medellín;Comuna 8 - Villa Hermosa;Medellín;Comuna 10 - La Candelaria;;Uno;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La comodidad (confort);El tiempo de espera;Tiempos de espera largos o inciertos;Congestión de tráfico;;Muy importante;4;4;Muy importante;Muy importante;Muy importante;2;Muy importante;Muy importante;Automóvil;;Otra razón ¿Cuál?;No lo tengo;Vertederos (basureros) y rellenos sanitarios;Bajo;Automóviles particulares;;Bicicleta;;Inclinación del terreno;;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;6.260.953;-755.565.198;1.612.099.976;1.814
248;5.262.967.272;Presencial en hogares;Femenino;Si;28;25 - 34 años;No;Si;Si;Si;Norte de Santander;Cúcuta;;;Ninguna de las anteriores;No;Tecnológico;No;Trabajar;Profesional independiente (por ejemplo, por prestación de servicios);De lunes a viernes;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;No;0;;1;0;Caminata;;;;;;;;;;;10;;;;;5;Medellín;Comuna 8 - Villa Hermosa;Medellín;Comuna 8 - Villa Hermosa;;Dos;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);El tiempo de viaje;El tiempo de espera;Multitud de personas;Ser víctima de robo o atraco;;Muy importante;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;2;Muy importante;Muy importante;Automóvil;;Costos asociados;;Construcciones y obras civiles o demoliciones;Nulo;Bus, colectivo, busetas;;Bicicleta;;Costos altos;;4;Muy influyente;Si;Si;Si;No;Si;No;No;No;;Mientras caminaba;En el metro;;No tomó ninguna acción;;;Si;Mujer;No;6.260.135;-755.569.184;1.578.207;15
249;48.797.750.320.000.000;Presencial en hogares;Masculino;Si;66;65 - 80 años;No;Si;Si;Si;Antioquia;Medellín;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Técnico profesional;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Con su pareja;Estrato 3;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, auto y motocicleta;Si, motocicleta;0;;1;1;Moto 4T;;125 cc;;Gasolina corriente;;2006;Otro municipio del área metropolitana;Conductor;Nunca;;30;;;;;;Medellín;Comuna 8 - Villa Hermosa;Medellín;Comuna 9 - Buenos Aires;;Uno;Menos de 5 km;A visitar a alguien (familiar o amigo);;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La distancia que debe recorrer;La vulnerabilidad frente accidentes de tránsito;Esfuerzo físico agotador;Dificultad para encontrar parqueadero;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;3;4;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Moderado;Camión pesado;;Moto 4T;;Condiciones climáticas;;Nada influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;Si;6.259.786;-755.561.358;1.579.635;2.743
250;15.599.280.840.000.000;Presencial en hogares;Masculino;Si;30;25 - 34 años;No;Si;Si;Si;Caquetá;Florencia;;;Ninguna de las anteriores;No;Secundaria incompleta;Si;Trabajar;Trabajador independiente o por cuenta propia;De lunes a viernes;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 4;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Taxi;;;;;;;;;;;20;;;;;;Medellín;Comuna 8 - Villa Hermosa;Medellín;Comuna 10 - La Candelaria;;Uno;Menos de 5 km;Ir a trabajar;;;;;;;Ni satisfecho ni insatifecho;La percepción de seguridad;La distancia que debe recorrer;El tiempo de espera;Costos altos;Ser víctima de robo o atraco;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Taxi;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Alto;Automóviles de plataformas y taxis;;Bicicleta;;Falta de infraestructura (andenes, ciclorutas, etc.);;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.555.265;-755.599.849;1.546.400.024;60
251;7.105.671.132;Presencial en hogares;Femenino;Si;62;55 - 64 años;No;Si;Si;Si;Antioquia;Salgar;;;Ninguna de las anteriores;Si;Básica primaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja;Estrato 2;Entre 300 mil y 500 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;10;20;30;60;;Medellín;Comuna 7 - Robledo;Medellín;Comuna 14 - El Poblado;;Uno;Entre 6 y 10 km;A visitar a alguien (familiar o amigo);;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;Nada me disgusta;Exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;Muy importante;Muy importante;Muy importante;3;4;4;Nada Importante;Nada Importante;Nada Importante;Automóvil;;Otra razón ¿Cuál?;No tiene la economía;Empresas manufactureras;Alto;Bus, colectivo, busetas;;Automóviles, taxis;;Inseguridad;;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Prefiere no responder;No;62.887.857;-755.896.344;1761;10.588
252;516.558.564;Presencial en hogares;Masculino;Si;18;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Técnico profesional;No;Estudiar;;;;;;;;;De lunes a viernes;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Metro;;;;;;;;;;;;12;5;45;2;;Medellín;Comuna 7 - Robledo;Medellín;Comuna 4 - Aranjuez;;Uno;Entre 6 y 10 km;Ir a estudiar;;;;;;;Ni satisfecho ni insatifecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;La percepción de inseguridad personal (robo o atraco, acoso o violencia de algún tipo);Costos altos;;;4;3;3;2;3;3;Nada Importante;Nada Importante;3;Automóvil;;Otra razón ¿Cuál?;Difícil acceso económico;Los vehículos que circulan en la ciudad;Alto;Automóviles particulares;;Metro;;Costos altos;;Muy influyente;Muy influyente;No;No;No;Si;No;No;No;No;;En el metro;;;No tomó ninguna acción;;;Si;Hombre;No;62.959.949;-755.859.849;1.803.699.951;14.611
253;38.274.106.800.000.000;Presencial en hogares;Femenino;Si;36;35 - 44 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar y estudiar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 1;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Moto 4T;;125 cc;;Gasolina corriente;;No sabe / No responde - NO LEA;No sabe/no responde;Acompañante (pasajero o parrilero);Siempre;1;40;;;;;;Medellín;Comuna 7 - Robledo;Medellín;Comuna 11 - Laureles Estadio;;Uno;Menos de 5 km;Ir a trabajar;;;;;;;Muy satisfecho;El tiempo de viaje;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Es el medio de transporte que utiliza;;Empresas manufactureras;Moderado;Bus, colectivo, busetas;;Bicicleta;;Costos altos;;Nada influyente;Nada influyente;No;Si;Si;Si;Si;Si;No;No;;En el metro;;;Otro;;me enoje;No;Mujer;No;62.960.468;-755.859.839;1.803.699.951;14.144
254;38.274.106.800.000.000;Presencial en hogares;Femenino;Si;55;55 - 64 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Con su pareja y otros familiares;Estrato 1;Menos de 100 mil pesos;No;;Ninguna dificultad;;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;10;15;60;15;;Medellín;Comuna 7 - Robledo;Medellín;Comuna 7 - Robledo;;Uno;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;El tiempo de espera;Costos altos;;;Muy importante;Nada Importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Muy importante;Muy importante;Taxi;;Costos asociados;;Los vehículos que circulan en la ciudad;Moderado;Automóviles particulares;;Metro;;Inseguridad;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.960.331;-75.586.063;1.803.400.024;12.061
255;516.558.564;Presencial en hogares;Masculino;Si;18;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Técnico profesional;No;Estudiar;;;;;;;;;Martes;Miércoles;Jueves;Sábado;;Con otros familiares diferentes a sus hijos o pareja;Estrato 1;No sabe/no responde;No;;Ninguna dificultad;;No;No;0;;1;0;Bus, colectivo, buseta;;;;;;;;;;;;10;10;30;1;;Medellín;Comuna 7 - Robledo;Medellín;Comuna 7 - Robledo;;Uno;Menos de 5 km;Ir a estudiar;;;;;;;Ni satisfecho ni insatifecho;La distancia que debe recorrer;;Nada me disgusta;Tiempos de viaje largos o inciertos;;;Muy importante;Nada Importante;Nada Importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Moto 4T;;Otra razón ¿Cuál?;No sabe manejar;Los vehículos que circulan en la ciudad;Moderado;Camión pesado;;Bicicleta eléctrica;;Falta de infraestructura (andenes, ciclorutas, etc.);;3;3;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;62.952.325;-755.857.186;1.780.900.024;14.212
256;38.274.106.800.000.000;Presencial en hogares;Femenino;Si;39;35 - 44 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Empleado en empresa, gobierno u organización;De lunes a sábado;;;;;;;;;;;;Con su pareja y sus hijos o hijas;Estrato 1;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;0;;1;1;Bus, colectivo, buseta;;;;;;;;;;;;5;1;40;1;;Medellín;Comuna 7 - Robledo;Itagüí;No sabe. ¿A dónde se dirige?;Itagüí;Uno;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;La comodidad (confort);La percepción de seguridad;Nada me disgusta;Congestión de tráfico;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Bus, colectivo, busetas;;Es el medio de transporte que utiliza;;Vertederos (basureros) y rellenos sanitarios;Moderado;Bus, colectivo, busetas;;Moto 4T;;Inseguridad;;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Mujer;No;62.952.829;-755.856.939;1.781.300.049;13.424
257;492.021.337.125;Presencial en hogares;Masculino;Si;21;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Ayudante sin remuneración (hijo o familiar de empleados del servicio doméstico,mayordomos, jornaleros, etc.);De lunes a domingo;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;Si;Otra persona que no es familia;Ninguna dificultad;;Sí, motocicleta;No;0;;0;;Metroplus;;;;;;;;;;;;10;30;10;2;;Medellín;Comuna 3 - Manrique;Itagüí;Comuna 4 - Aranjuez;;No salgo del hogar con frecuencia;Entre 6 y 10 km;Ir a trabajar;;;;;;;Nada Satisfecho;El tiempo de viaje;;El tiempo de espera;Otro;;Ninguno;Nada Importante;Nada Importante;Nada Importante;4;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Moto 4T;;Costos asociados;;Vertederos (basureros) y rellenos sanitarios;Bajo;Bus, colectivo, busetas;;Metroplús;;Falta de información;;Nada influyente;Nada influyente;No;Si;No;No;No;No;No;No;;Mientras caminaba;;;No tomó ninguna acción;;;No;Hombre;No;62.835.759;-755.520.586;1.642.699.951;12.949
258;492.021.337.125;Presencial en hogares;Masculino;Si;60;55 - 64 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Básica primaria completa;No;Incapacitado permanente para trabajar;;;;;;;;;;;;;;Con sus hijos y otros familiares;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;No;No;1;0;0;;Bus, colectivo, buseta;;;;;;;;;;;;15;15;35;15;;Medellín;Comuna 3 - Manrique;Bello;Comuna 4 - Aranjuez;;No salgo del hogar con frecuencia;Entre 11 y 15 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;El tiempo de espera;Multitud de personas;;;Muy importante;Nada Importante;Nada Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Automóvil;;Costos asociados;;Los vehículos que circulan en la ciudad;Moderado;Bus, colectivo, busetas;;Automóviles, taxis;;Inseguridad;;3;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.838.448;-7.555.244;1.631.400.024;11.329
259;492.021.337.125;Presencial en hogares;Masculino;Si;37;35 - 44 años;No;Si;Si;Si;Antioquia;Medellín;;;Indígena;Si;Secundaria incompleta;No;Está desempleado;;;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;Si;Una mujer de la familia que vive con usted;Dificultad para ver, aún utilizando lentes;;Sí, motocicleta;Si, motocicleta;0;;0;;Moto 4T;;150 cc;;Gasolina extra;;2025;Medellín;Conductor;Algunas veces;1;30;;;;;;Medellín;Comuna 3 - Manrique;Medellín;Comuna 14 - El Poblado;;Dos;Menos de 5 km;Ir a trabajar;;;;;;;Satisfecho;Restricciones de circulación (Ejemplo: pico y placa);;Nada me disgusta;Congestión de tráfico;;;Nada Importante;Nada Importante;Nada Importante;Nada Importante;Muy importante;Muy importante;Nada Importante;Muy importante;Nada Importante;Moto 4T;;Es el medio de transporte que utiliza;;Empresas manufactureras;Alto;Camión pesado;;Moto 4T;;Costos altos;;Nada influyente;Nada influyente;No sabe;No sabe;No sabe;No sabe;No sabe;No sabe;No;No;;;;;;;;Si;Prefiere no responder;No;62.832.973;-755.523.165;1.636.699.951;10.908
260;3.502.565.946;Presencial en hogares;Masculino;Si;23;18 - 24 años;No;Si;Si;Si;Antioquia;Apartadó;;;Ninguna de las anteriores;No;Secundaria completa;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;0;;1;1;Moto 2T;;125 cc;;Gasolina corriente;;2023;Medellín;Conductor;Algunas veces;1;25;;;;;;Medellín;Comuna 9 - Buenos Aires;Medellín;Comuna 9 - Buenos Aires;;Dos;Entre 11 y 15 km;Ir a trabajar;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;;;2;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 2T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Caminata;;Inseguridad;;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No sabe;;;;;;;;No;Hombre;No;62.490.269;-755.488.599;1.637.699.951;4.9
261;3.502.565.946;Presencial en hogares;Masculino;Si;30;25 - 34 años;No;Si;Si;Si;Antioquia;Turbo;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);No;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a sábado;;;;;;;;;;;;Con su pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;1;1;1;1;Moto 2T;;125 cc;;Gasolina corriente;;2020;Medellín;Conductor;Algunas veces;1;10;;;;;;Medellín;Comuna 9 - Buenos Aires;Medellín;Comuna 10 - La Candelaria;;Uno;Entre 16 y 20 km;Ir a trabajar;;;;;;;Satisfecho;La distancia que debe recorrer;;La exposición a condiciones climáticas desfavorables (lluvia o calor);Congestión de tráfico;Tiempos de viaje largos o inciertos;;Nada Importante;Muy importante;4;Muy importante;Muy importante;Nada Importante;Nada Importante;Muy importante;Muy importante;Moto 2T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Camión pesado;;Caminata;;Inclinación del terreno;;Nada influyente;2;No;No;No;No;No;No;No;No sabe;;;;;;;;No;Hombre;No;62.288.981;-755.332.993;1.751.300.049;4.7
262;3.502.565.946;Presencial en hogares;Masculino;Si;25;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Está desempleado;;;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;Si, motocicleta;0;;1;1;Moto 2T;;Entre 150 cc y 250 cc;;Gasolina corriente;;2024;Medellín;Conductor;Algunas veces;1;10;;;;;;Medellín;Comuna 9 - Buenos Aires;Medellín;Comuna 8 - Villa Hermosa;;Dos;Entre 6 y 10 km;A visitar a alguien (familiar o amigo);;;;;;;Muy satisfecho;La autonomía o control sobre el viaje;;La vulnerabilidad frente accidentes de tránsito;Congestión de tráfico;;;Nada Importante;Muy importante;Muy importante;4;2;Nada Importante;4;Muy importante;Muy importante;Moto 2T;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Caminata;;Inclinación del terreno;;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No sabe;;;;;;;;Si;Hombre;No;62.296.846;-755.351.752;1.757.800.049;4.833
263;3.502.565.946;Presencial en hogares;Masculino;Si;19;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Estudiar;;;;;;;;;De lunes a viernes;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;0;;Tranvía;;;;;;;;;;;;5;6;40;5;;Medellín;Comuna 9 - Buenos Aires;Medellín;Comuna 10 - La Candelaria;;Dos;Más de 20 km;Ir a estudiar;;;;;;;Muy satisfecho;La comodidad (confort);El costo (sus posibilidades económicas o capacidad adquisitiva);Nada me disgusta;Congestión de tráfico;;;Muy importante;Nada Importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Muy importante;Muy importante;Tranvía;;Es el medio de transporte que utiliza;;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Caminata;;Inseguridad;;Nada influyente;Muy influyente;No;No;No;No;No;No;No;No sabe;;;;;;;;No;Hombre;No;62.319.067;-755.395.374;1.680.300.049;4
264;5.166.263.292;Presencial en hogares;Femenino;Si;66;65 - 80 años;No;Si;Si;Si;Antioquia;La Unión;;;Ninguna de las anteriores;Si;Básica primaria incompleta;Si;Hacer trabajo doméstico en su propio hogar;;;;;;;;;;;;;;Sola(o);Estrato 2;Menos de 100 mil pesos;No;;Dificultad temporal para moverse;;No;No;0;;0;;Bus, colectivo, buseta;;;;;;;;;;;;10;5;20;10;;Medellín;Comuna 2 - Santa Cruz;Medellín;Comuna 10 - La Candelaria;;Uno;Menos de 5 km;A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo;;;;;;;Muy satisfecho;La comodidad (confort);El tiempo de viaje;Otra razón;Multitud de personas;;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Muy importante;Taxi;;Costos asociados;;Los vehículos que circulan en la ciudad;Alto;Bus, colectivo, busetas;;Metro;;Inseguridad;;Muy influyente;Muy influyente;No;Si;No;Si;Si;No;No;No;;En una buseta o colectivo;;;No tomó ninguna acción;;;No;Mujer;No;62.956.448;-755.532.741;1.575.800.049;4.824
265;51.739.085.565;Presencial en hogares;Masculino;Si;21;18 - 24 años;No;Si;Si;Si;Chocó;Acandi;;;Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a);Si;Secundaria completa;Si;Trabajar;Empleado en empresa, gobierno u organización;De lunes a viernes;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;Si;Una mujer de la familia que vive con usted;Ninguna dificultad;;Sí, motocicleta;No;0;;0;;Metro;;;;;;;;;;;;6;4;45;10;;Medellín;Comuna 2 - Santa Cruz;Sabaneta;No sabe. ¿A dónde se dirige?;Sabaneta;Uno;Entre 11 y 15 km;Ir a trabajar;;;;;;;Muy satisfecho;El costo (sus posibilidades económicas o capacidad adquisitiva);La percepción de seguridad;Nada me disgusta;Tiempos de espera largos o inciertos;Multitud de personas;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Moto 4T;;Otra razón ¿Cuál?;Porque no cuenta con una;Los vehículos que circulan en la ciudad;Bajo;Bus, colectivo, busetas;;Metro;;Inseguridad;;Nada influyente;Nada influyente;No;No;No;No;No;No;No;No;;;;;;;;Si;Hombre;No;6.295.715;-755.532.067;1.576.199.951;4.722
266;5.166.263.292;Presencial en hogares;Femenino;Si;20;18 - 24 años;No;Si;Si;Si;Antioquia;Medellín;;;Ninguna de las anteriores;No;Secundaria completa;No;Estudiar;;;;;;;;;De lunes a viernes;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Entre 100 y 300 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;1;0;1;0;Metro;;;;;;;;;;;;10;3;20;5;;Medellín;Comuna 2 - Santa Cruz;Medellín;Comuna 10 - La Candelaria;;Tres;Menos de 5 km;Ir a estudiar;;;;;;;Satisfecho;El tiempo de viaje;;Las condiciones de incomodidad;Congestión de tráfico;Multitud de personas;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;4;Moto 2T;;Otra razón ¿Cuál?;Porque no tengo licencia;Uso de aerosoles y productos químicos;Moderado;Bus, colectivo, busetas;;Metro;;Inseguridad;;Nada influyente;Nada influyente;No;Si;No;Si;No;No;No;No;;En el metro;;;Se bajó del modo de transporte;;;Si;Mujer;No;62.961.004;-755.548.085;1.550.699.951;3.79
267;51.739.085.565;Presencial en hogares;Masculino;Si;31;25 - 34 años;No;Si;Si;Si;Antioquia;Medellín;;;No sabe/ No responde;Si;Secundaria incompleta;No;Trabajar;Trabajador independiente o por cuenta propia;De lunes a domingo;;;;;;;;;;;;Con otros familiares diferentes a sus hijos o pareja;Estrato 2;Menos de 100 mil pesos;No;;Ninguna dificultad;;Sí, motocicleta;No;0;;2;0;Bus, colectivo, buseta;;;;;;;;;;;;5;15;15;30;;Medellín;Comuna 2 - Santa Cruz;Medellín;Comuna 10 - La Candelaria;;Uno;Menos de 5 km;A realizar algún trámite personal;;;;;;;Satisfecho;La percepción de seguridad;Condiciones de salud propias o de un familiar;El tiempo de espera;Tiempos de espera largos o inciertos;;;Muy importante;Muy importante;Muy importante;Muy importante;Nada Importante;Nada Importante;Nada Importante;Muy importante;Nada Importante;Automóvil en plataforma (Ejemplo:Uber);;Costos asociados;;Vertederos (basureros) y rellenos sanitarios;Muy alto;Moto 2T particular;;Metro;;Falta de información;;Muy influyente;Muy influyente;No;No;No;No;No;No;No;No;;;;;;;;No;Hombre;No;62.961.894;-755.549.034;1.549.599.976;4.897
